code, wname, type, group, obsolete, ordering
"html-externalContent","externalContent","html","Usine à Sites - Contenu","0","10"
"html-toc","toc","html","Usine à Sites - Contenu","0","20"
"html-lastuploads","lastuploads","html","Usine à Sites - Navigation","0","30"
"html-children","children","html","Usine à Sites - Navigation","0","40"
"html-subTopChildren","subTopChildren","html","Usine à Sites - Navigation","0","45"
"opensocial-pageclasseurfolder","pageclasseurfolder","opensocial","Usine à Sites - Navigation","0","50"
"html-myPages","myPages","html","Usine à Sites - Navigation","0","60"
"html-pagesSameAuthor","pagesSameAuthor","html","Usine à Sites - Navigation","0","70"
"html-myDraftPages","myDraftPages","html","Usine à Sites - Navigation","0","80"
"html-draftPagesSameAuthor","draftPagesSameAuthor","html","Usine à Sites - Navigation","0","90"
"html-siteRssFeed-lastNews","siteRssFeed-lastNews","html","Usine à Sites - Actualités","0","100"
"html-myPublishedNews","myPublishedNews","html","Usine à Sites - Actualités","0","110"
"html-publishedNewsSameAuthor","publishedNewsSameAuthor","html","Usine à Sites - Actualités","0","120"
"opensocial-rss","rss","opensocial","Actualités","0","130"
"opensocial-lmactu","lmactu","opensocial","Actualités","0","140"
"opensocial-picturebook","picturebook","opensocial","Média","0","150"
"opensocial-video","video","opensocial","Média","0","160"
"opensocial-flash","flash","opensocial","Média","0","170"
"opensocial-IDENOV","IDENOV","opensocial","Intranet","0","180"
"opensocial-Contact","Contact","opensocial","Intranet","0","190"
"opensocial-hi42","hi42","opensocial","Intranet","0","200"
"opensocial-dispoappli","dispoappli","opensocial","Intranet","0","210"
"opensocial-calculette","calculette","opensocial","Divers","0","220"
