templateId, themeId
"supplyChain","supplyChain"
"centerFullScreen","Spruce"
"centerFullScreen","Cerulean"
"centerFullScreen","Simplex"
"centerFullScreen","Simplex2"
"centerFullScreen","Superhero"
"centerFullScreen","United"
"centerFullScreen","Cyborg"
"centerFullScreen","BladesOfSteel"
"homeLeftComplex","Spruce"
"homeLeftComplex","Cerulean"
"homeLeftComplex","Simplex"
"homeLeftComplex","Simplex2"
"homeLeftComplex","Superhero"
"homeLeftComplex","United"
"homeLeftComplex","Cyborg"
"homeLeftComplex","BladesOfSteel"
"homeRightComplex","Spruce"
"homeRightComplex","Cerulean"
"homeRightComplex","Simplex"
"homeRightComplex","Simplex2"
"homeRightComplex","Superhero"
"homeRightComplex","United"
"homeRightComplex","Cyborg"
"homeRightComplex","BladesOfSteel"
"homeSimple","Spruce"
"homeSimple","Cerulean"
"homeSimple","Simplex"
"homeSimple","Simplex2"
"homeSimple","Superhero"
"homeSimple","United"
"homeSimple","Cyborg"
"homeSimple","BladesOfSteel"
